device n.设备
standard adj.标准的
index n.索引；指数
extension n.扩展
multiple adj.多个
load v.加载；载入
unload v.卸载
service n.服务
screenshot n.截图
snapshot n.快照
inject v.注入
kernel n.内核
user n.用户
vector n.向量
relative adj.相对的
absolute adj.绝对的
angle n.角度
encode v.编码
decode v.解码
rank n.秩；排名
free v.释放
release v.释放；发布
script n.脚本
clone v.克隆
binary adj.二进制的
hexdecimal adj.十六进制的
monitor n.显示器
technology n.技术
destroy v.毁灭
pointer n.指针
argument n.参数
parameter n.参数
array n.数组
sort v.排序
frame n.帧
print v.打印；输出
seperate v.分隔
reference n.引用
space n.空格；太空
subscript n.下标
enumerate v.枚举
Unicode n.统一码
unsigned adj.无符号的
path n.路径
coroutine n.协程
virtual adj.虚拟的
type n.类型
identifier n.标识符
define v.定义
next adj.下一个
previous adj.上一个
boot v.启动；开机
reboot v.重启
shutdown v.关机
logoff v.注销
login v.登陆
checksum n.校验和
syntax n.格式
code n.代码
character n.字符
key n.键
refresh v.刷新
address n.地址
boolean n.布尔
attribute n.属性
property n.属性；财产
yield v.让步
keyword n.关键字
exception n.异常
hotkey n.热键
video n.视频
audio n.音频
document n.文档
touch n.触摸
daemon n.守护
software n.软件
hardware n.硬件
firmware n.固件
malware n.恶意软件
virus n.病毒
worm n.蠕虫
backdoor n.后门
protection n.保护
machine n.机器
infect v.感染
disk n.磁盘
inspect v.查看
bold n.粗体；v.加粗
underline n.下划线；v.下划线
limit n.限制
spawn v.生成
random adj.随机的
dimension n.维度；量
overlapped adj.层叠的
sheet n.表格
center n.中央
switch v.切换
element n.元素
enter n.回车；v.进入
maximize v.最大化
minimize v.最小化
show v.显示
hide v.隐藏
replace v.替换
comment n.评论
shift v.上档
check v.检查
post v.寄
cancel v.取消
as prep.作为
invalid adj.无效的
continue v.继续
break v.打断；破坏
interrupt v.打断；插嘴
field n.字段
environment n.环境
port n.端口
subclass n.子类
information n.信息
true adj.真的
false adj.假的
null adj.空无的;n.空引用
instance n.实例
timeout n.超时
redirect v.重定向
quote n.引号
unique adj.独一无二的；v.去重
case n.大小写；情况
border n.边框
ellipsis n.省略号
option n.选项
italic adj.斜体的
callback n.回调
voxel n.三维像素
focus n.焦点；v.关注
hash n.哈希
exist v.存在
move v.移动
style n.风格
password n.密码
drag v.拖动；拖曳
brush n.画刷
count n.数量
collider n.碰撞箱
error n.错误
record v&n.记录
force n.力；adj.强制的
assign v.赋值
apply v.应用
package n.包装
import v.导入
export v.导出
member n.成员
namespace n.命名空间
this pron.这个
template n.模板
delegate n.委托
utility n.效用
stats n.统计
name n.名称
offset v&n.偏移
preview v.预览
accept v.接受
deny v.拒绝
config n.配置
test v.测试
team n.团队
privilege n.特权
entry n.条目
pipe n.管道
security n.安全
descriptor n.描述符
bind v.绑定
listen v.监听
warning n.警告
tip v&n.提示
flag n.标志
permission n.许可；批准
administrator n.管理员
inline adj.内联的
numpad n.小键盘
modifier n.修饰符
Internet n.因特网
email n.电子邮件
dump v.转储；转存
equal adj.相等的
range n.范围
rectangle n.矩形
jump v.跳转
default adj.默认的
alignment n.对齐；边界调整
encapsulation n.封装
hierarchy n.体系
implement n.实现
implementation n.实现品
implicit adj.隐式的
inheritance n.继承
mangle v.名称切割重组
overhead n.额外负担
friend n.友元
hotfix n.补丁程序
patch n.补丁；修补程序；菜地
online adj.在线的
offline adj.离线的
searchable adj.可搜索的
database n.数据库
standalone adj.(计算机)独立的
netizen n.网民
unknown adj.未知的
composition n.组合
slot n.格子
paradigm n.范式
polymorphism n.多态
shareware n.共享软件
dereference v.解引用
call v.调用；打电话
invoke v.调用；援引
power n.电源
explicit adj.显式的
slider n.滑块
invocation n.调用
subtype n.子类型
resolve v.决议；解决
invalidate v.无效化
infinite adj.无限的
digit n.数码
cache n.高速缓存
cast v&n.强制转换
initialize v.初始化
read v.读取
write v.写入
quit v.退出；戒
exit v.退出；n.出口
void adj.空的
expression n.表达式
stream n.流
allocate v.发配
cancel v.取消
ok v.确定
and conj.与
or conj.或
not adv.非
success n.成功
fail v.失败
echo v.回显；输出
player n.播放器；玩家
backward adv.后退
compatible adj.兼容的
compatibility n.兼容性
clipboard n.剪贴板
backslash n.反斜线
terminal n.终端
autocomplete v.自动补全
assert v.断言
assembler n.汇编器
disassemble v.反汇编
arrow n.箭头
antivirus adj.防病毒的
architecture n.体系结构
netbook n.上网本
network n.互联网络
adware n.广告软件
anonymize v.匿名化处理
analog adj.模拟的
alias n.别名
add-in n.附加程序
addy n.地址
account n.账号；账户
escape v.逃离；退出
netiquette n.网络礼仪
demo n.示例
install v.安装
uninstall v.卸载
firewall n.防火墙
configuration n.配置；构造
crash v.崩溃
runtime n.运行时间
unordered adj.无序的
archive n.存档
multithread adj.多线程的
multiprocessing adj.多进程的
multitask adj.多任务的
processor n.处理器
eject v.(U盘)弹出
interactive adj.可交互的
foreground n.前景
lulz interj.可笑！
freeware n.免费软件
e-pal n.网友
microprocessor n.微处理器
onboard adj.主板的；板上的
duration n.持续时间
harddisk n.硬盘
algorithm n.算法
assertion n.断言
slash n.斜杠
backspace n.退格
autosave n.自动保存
metadata n.元数据
microblog n.微博
rotation n.旋转
instantiate v.实例化
scale v&n.缩放
operand n.操作数
match v&n.搭配；匹配
scroll v.滚动
