science 科学
galactose 半乳糖
ribose 核糖
deoxyribose 脱氧核糖
tolene 甲苯
xylene 二甲苯
ion 离子
atom 原子
mole 摩尔
cell 细胞
vacuole 液泡
physics 物理
chemistry 化学
biology 生物
function 函数
limit 极限；限制
coordination 坐标
axis 轴
diffusion 扩散
Brownian_motion 布朗运动
thermal_motion 热运动
molecular_kinetic_theory 分子动理论
statistical_regularity 统计规律
thermodynamic_system 热力学系统
state_parameter 状态参量
equilibrium_state 平衡态
thermal_equilibrium 热平衡
temperature 温度
thermometric_scale 温标
Kelvin 开尔文
ideal_gas 理想气体
anisotropy 各向异性
isotropy 各向同性
solid 固体
liquid 液体
vapor 蒸汽
gas 气体；天然气
surface_tension 表面张力
capillarity 毛细现象
resistance 电阻；阻值
ampere 安培
voltage 电压
adiabatic_process 绝热过程
thermodynamics 热力学
black_body 黑体
black_body_radiation 黑体辐射
photoelectric_effect 光电效应
cutoff_frequency 截止频率
work_function 逸出功
photon 光子
Compton_effect 康普顿效应
wave_particle_duality 波粒二象性
electron 电子
energy_level 能级
stationary_state 定态
ground_state 基态
excited_state 激发态
electron_cloud 电子云
de_Broglie_wave 德布罗意波
matter_wave 物质波
quantum_mechanics 量子力学
radioactivity 放射性
proton 质子
neutron 中子
nucleon 核子
isotope 同位素
decay 衰变
half_life 半衰期
mass 质量
density 密度
volume 体积
litre 升
metre 米
nuclear_reaction 链式反应
electronmagnetic_interaction 电磁相互作用
strong_interaction 强相互作用
weak_interaction 弱相互作用
binding_energy 结合能
specific_binding_energy 比结合能
nuclear_fission 核裂变
nuclear_fusion 核聚变
tokamak 环流器
quark 夸克
antimatter 反物质
closed_circuit 闭合电路
arrangement 排列
combination 组合
factory 阶乘
binomial_therorem 二项式定理
probability 概率
conditional_probability 条件概率
multiplication 乘法
total_probability_formula 全概率公式
Bayed_formula 贝叶斯公式
random_variable 随机变量
discrete_random_variable 离散型随机变量
continuous_random_variable 连续型随机变量
two-point_distribution 两点分布
mean 均值
mathematical_expectation 数学期望
variance 方差
standard_deviation 标准差
binomial_distribution 二项分布
Bernonlli_trials 伯努利试验
hypergeometric_distribution 超几何分布
normal_distribution 正态分布
correlation 相关关系
electric_charge 电荷
friction 摩擦
electric_quantity 电荷量
Coulomb 库仑
elementary_charge 元电荷
force 力
gravity 重力
electrostatic_force 静电力
point_charge 点电荷
electric_field 电场
electrostatic_equilibrium 静电平衡
electric_potential 电势
equipotential_surface 等势面
capacitor 电容器
capacitance 电容
Farad 法拉
resistivity 电阻率
power_source 电源
steady_electric_field 稳定电场
electric_current 电流
electric_power 电功率
electromotive_force 电动势
magnetic_field 磁场
magnetic_induction 磁感应强度
Tesla 特斯拉
Weber 韦伯
magnetic_flux 磁通量
electromagnetic_induction 电磁感应
induction_current 感应电流
electromagnetic_field 电磁场
electromagnetic_wave 电磁波
energy_quantum 能量子
Planck_constant 普朗克常量
