stone 石头
waxed_weathered_cut_copper 锈蚀的涂蜡切制铜块
waxed_oxidized_cut_copper 氧化的涂蜡切制铜块
waxed_cut_copper_stairs 涂蜡切制铜楼梯
waxed_exposed_cut_copper_stairs 斑驳的涂蜡切制铜楼梯
waxed_weathered_cut_copper_stairs 锈蚀的涂蜡切制铜楼梯
waxed_oxidized_cut_copper_stairs 氧化的涂蜡切制铜楼梯
waxed_cut_copper_slab 涂蜡切制铜台阶
waxed_exposed_copper_slab 斑驳的涂蜡切制铜台阶
waxed_weathered_copper_slab 锈蚀的涂蜡切制铜台阶
waxed_oxidized_copper_slab 氧化的涂蜡切制铜台阶
oak_log 橡木原木
spruce_log 云杉原木
birch_log 白桦原木
jungle_log 丛林原木
acacia_log 金合欢原木
dark_oak_log 深色橡木原木
mangrove_log 红树原木
mangrove_roots 红树根
muddy_mangrove_roots 沾泥的红树根
crimson_stem 绯红菌柄
warped_stem 诡异菌柄
stripped_oak_log 去皮橡木原木
stripped_spruce_log 去皮云杉原木
stripped_birch_log 去皮白桦原木
stripped_jungle_log 去皮丛林原木
stripped_acacia_log 去皮金合欢原木
stripped_dark_oak_log 去皮深色橡木原木
stripped_mangrove_log 去皮红树原木
stripped_crimson_stem 去皮绯红菌柄
stripped_warped_stem 去皮诡异菌柄
stripped_oak_wood 去皮橡木
stripped_spruce_wood 去皮云杉木
stripped_birch_wood 去皮白桦木
stripped_jungle_wood 去皮丛林木
stripped_acacia_wood 去皮金合欢木
stripped_dark_oak_wood 去皮深色橡木
stripped_mangrove_wood 去皮红树木
stripped_crimson_hyphae 去皮绯红菌核
stripped_warped_hyphae 去皮诡异菌核
oak_wood 橡木
spruce_wood 云杉木
birch_wood 白桦木
jungle_wood 丛林木
acacia_wood 金合欢木
dark_oak_wood 深色橡木
mangrove_wood 红树木
crimson_hyphae 绯红菌核
warped_hyphae 诡异菌核
sponge 海绵
wet_sponge 湿海绵
glass 玻璃
tinted_glass 遮光玻璃
lapis_block 青金石块
sandstone 砂岩
chiseled_sandstone 錾制砂岩
cut_sandstone 切制砂岩
white_wool 白色羊毛
orange_wool 橙色羊毛
magenta_wool 品红色羊毛
light_blue_wool 淡蓝色羊毛
yellow_wool 黄色羊毛
lime_wool 黄绿色羊毛
pink_wool 粉红色羊毛
gray_wool 灰色羊毛
light_gray_wool 淡灰色羊毛
cyan_wool 青色羊毛
purple_wool 紫色羊毛
blue_wool 蓝色羊毛
brown_wool 棕色羊毛
green_wool 绿色羊毛
red_wool 红色羊毛
black_wool 黑色羊毛
oak_sapling 橡树树苗
spruce_sapling 云杉树苗
birch_sapling 白桦树苗
jungle_sapling 丛林树苗
acacia_sapling 金合欢树苗
dark_oak_sapling 深色橡树树苗
mangrove_propagule 红树胎生苗
oak_leaves 橡树树叶
spruce_leaves 云杉树叶
birch_leaves 白桦树叶
jungle_ leaves 丛林树叶
acacia_leaves 金合欢树叶
dark_oak_leaves 深色橡树树叶
mangrove_leaves 红树树叶
azalea_leaves 杜鹃树叶
flowering_azalea_leaves 盛开的杜鹃树叶
cobweb 蜘蛛网
grass 草
fern 蕨
azalea 杜鹃花丛
flowering_azalea 盛开的杜鹃花丛
dead_bush 枯萎的灌木
seagrass 海草
sea_pickle 海泡菜
dandelion 蒲公英
poppy 虞美人
blue_orchid 兰花
allium 绒球葱
azure_bluet 蓝花美耳草
red_tulip 红色郁金香
orange_tulip 橙色郁金香
white_tulip 白色郁金香
pink_tulip 粉红色郁金香
oxeye_daisy 滨菊
cornflower 矢车菊
lily_of_the_valley 铃兰
wither_rose 凋零玫瑰
spore_blossom 孢子花
brown_mushroom 棕色蘑菇
red_mushroom 红色蘑菇
crimson_fungus 绯红菌
warped_fungus 诡异菌
crimson_roots 绯红菌索
warped_roots 诡异菌索
nether_sprouts 下界苗
weeping_vines 垂泪藤
twisting_vines 缠怨藤
sugar_cane 甘蔗
kelp 海带
moss_carpet 苔藓地毯
moss_block 苔藓块
hanging_roots 垂根
big_dripleaf 大型垂滴叶
small_dripleaf 小型垂滴叶
bamboo 竹子
torch 火把
end_rod 末地烛
chorus_plant 紫颂植株
chorus_flower 紫颂花
chest 箱子
crafting_table 工作台
farmland 耕地
furnace 熔炉
ladder 梯子
snow 雪
cactus 仙人掌
jukebox 唱片机
oak_fence 橡木栅栏
spruce_fence 云杉木栅栏
birch_fence 白桦栅栏
jungle_fence 丛林栅栏
acacia_fence 金合欢栅栏
dark_oak_fence 深色橡树栅栏
mangrove_fence 红树栅栏
crimson_fence 绯红木栅栏
warped_fence 诡异木栅栏
soul_torch 灵魂火把
infested_stone 被虫蚀的石头
infested_cobblestone 被虫蚀的圆石
infested_stone_bricks 被虫蚀的石砖
infested_mossy_stone_bricks 被虫蚀的苔石砖
infested_cracked_stone_bricks 被虫蚀的裂纹石砖
infested_chiseled_stone_bricks 被虫蚀的錾制石砖
infested_deepslate 被虫蚀的深板岩
brown_mushroom_block 棕色蘑菇方块
red_mushroom_block 红色蘑菇方块
mushroom_stem 蘑菇柄
iron_bars 铁栏杆
chain 锁链
glass_pane 玻璃板
vine 藤蔓
glow_lichen 发光地衣
lily_pad 睡莲
nether_brick_fence 地狱砖栅栏
sculk 幽潜块（暂译）
sculk_vein 幽潜地脉（暂译）
sculk_catalyst 幽潜催化体（暂译）
enchanting_table 附魔台
end_portal_frame 末地传送门框架
ender_chest 末影箱
ghast_tear 恶魂之泪
